;loinc_num;long_common_name;component;system;property;combined_col;removed_punc;tokens;clean_tokens;pos_tag;clean_text;query;rank
10;4671-4;Protein C [Mass/volume] in Plasma;Protein C;Plas;MCnc;Protein C [Mass/volume] in PlasmaProtein CPlasproperty;Protein C Massvolume in PlasmaProtein CPlasproperty;['protein', 'c', 'massvolume', 'in', 'plasmaprotein', 'cplasproperty'];['protein', 'c', 'massvolume', 'plasmaprotein', 'cplasproperty'];[('protein', 'NN'), ('c', 'NN'), ('massvolume', 'NN'), ('in', 'IN'), ('plasmaprotein', 'NN'), ('cplasproperty', 'NN')];protein c massvolume plasmaprotein cplasproperty;glucose in blood;0
11;18864-9;Ampicillin [Susceptibility];Ampicillin;Isolate;Susc;Ampicillin [Susceptibility]AmpicillinIsolateproperty;Ampicillin SusceptibilityAmpicillinIsolateproperty;['ampicillin', 'susceptibilityampicillinisolateproperty'];['ampicillin', 'susceptibilityampicillinisolateproperty'];[('ampicillin', 'NN'), ('susceptibilityampicillinisolateproperty', 'NN')];ampicillin susceptibilityampicillinisolateproperty;glucose in blood;0
12;15076-3;Glucose [Moles/volume] in Urine;Glucose;Urine;SCnc;Glucose [Moles/volume] in UrineGlucoseUrineproperty;Glucose Molesvolume in UrineGlucoseUrineproperty;['glucose', 'molesvolume', 'in', 'urineglucoseurineproperty'];['glucose', 'molesvolume', 'urineglucoseurineproperty'];[('glucose', 'JJ'), ('molesvolume', 'NN'), ('in', 'IN'), ('urineglucoseurineproperty', 'NN')];glucose molesvolume urineglucoseurineproperty;glucose in blood;0
13;1798-8;Amylase [Enzymatic activity/volume] in Serum or Plasma;Amylase;Ser/Plas;CCnc;Amylase [Enzymatic activity/volume] in Serum or PlasmaAmylaseSer/Plasproperty;Amylase Enzymatic activityvolume in Serum or PlasmaAmylaseSerPlasproperty;['amylase', 'enzymatic', 'activityvolume', 'in', 'serum', 'or', 'plasmaamylaseserplasproperty'];['amylase', 'enzymatic', 'activityvolume', 'serum', 'plasmaamylaseserplasproperty'];[('amylase', 'NN'), ('enzymatic', 'JJ'), ('activityvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmaamylaseserplasproperty', 'NN')];amylase enzymatic activityvolume serum plasmaamylaseserplasproperty;glucose in blood;1
14;26474-7;Lymphocytes [#/volume] in Blood;Lymphocytes;Bld;NCnc;Lymphocytes [#/volume] in BloodLymphocytesBldproperty;Lymphocytes volume in BloodLymphocytesBldproperty;['lymphocytes', 'volume', 'in', 'bloodlymphocytesbldproperty'];['lymphocytes', 'volume', 'bloodlymphocytesbldproperty'];[('lymphocytes', 'NNS'), ('volume', 'NN'), ('in', 'IN'), ('bloodlymphocytesbldproperty', 'NN')];lymphocytes volume bloodlymphocytesbldproperty;glucose in blood;1
15;1920-8;Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma;Aspartate aminotransferase;Ser/Plas;CCnc;Aspartate aminotransferase [Enzymatic activity/volume] in Serum or PlasmaAspartate aminotransferaseSer/Plasproperty;Aspartate aminotransferase Enzymatic activityvolume in Serum or PlasmaAspartate aminotransferaseSerPlasproperty;['aspartate', 'aminotransferase', 'enzymatic', 'activityvolume', 'in', 'serum', 'or', 'plasmaaspartate', 'aminotransferaseserplasproperty'];['aspartate', 'aminotransferase', 'enzymatic', 'activityvolume', 'serum', 'plasmaaspartate', 'aminotransferaseserplasproperty'];[('aspartate', 'JJ'), ('aminotransferase', 'NN'), ('enzymatic', 'JJ'), ('activityvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmaaspartate', 'NN'), ('aminotransferaseserplasproperty', 'NN')];aspartate aminotransferase enzymatic activityvolume serum plasmaaspartate aminotransferaseserplasproperty;glucose in blood;0
16;13317-3;Methicillin resistant Staphylococcus aureus [Presence] in Unspecified specimen by Organism specific culture;Staphylococcus aureus.methicillin resistant isolate;XXX;ACnc;Methicillin resistant Staphylococcus aureus [Presence] in Unspecified specimen by Organism specific cultureStaphylococcus aureus.methicillin resistant isolateXXXproperty;Methicillin resistant Staphylococcus aureus Presence in Unspecified specimen by Organism specific cultureStaphylococcus aureusmethicillin resistant isolateXXXproperty;['methicillin', 'resistant', 'staphylococcus', 'aureus', 'presence', 'in', 'unspecified', 'specimen', 'by', 'organism', 'specific', 'culturestaphylococcus', 'aureusmethicillin', 'resistant', 'isolatexxxproperty'];['methicillin', 'resistant', 'staphylococcus', 'aureus', 'presence', 'unspecified', 'specimen', 'organism', 'specific', 'culturestaphylococcus', 'aureusmethicillin', 'resistant', 'isolatexxxproperty'];[('methicillin', 'NN'), ('resistant', 'JJ'), ('staphylococcus', 'NN'), ('aureus', 'NN'), ('presence', 'NN'), ('in', 'IN'), ('unspecified', 'JJ'), ('specimen', 'NNS'), ('by', 'IN'), ('organism', 'NN'), ('specific', 'JJ'), ('culturestaphylococcus', 'NN'), ('aureusmethicillin', 'NN'), ('resistant', 'JJ'), ('isolatexxxproperty', 'NN')];methicillin resistant staphylococcus aureus presence unspecified specimen organism specific culturestaphylococcus aureusmethicillin resistant isolatexxxproperty;glucose in blood;0
17;925-8;Blood product disposition [Type];Blood product disposition;^BPU;Type;Blood product disposition [Type]Blood product disposition^BPUproperty;Blood product disposition TypeBlood product dispositionBPUproperty;['blood', 'product', 'disposition', 'typeblood', 'product', 'dispositionbpuproperty'];['blood', 'product', 'disposition', 'typeblood', 'product', 'dispositionbpuproperty'];[('blood', 'NN'), ('product', 'NN'), ('disposition', 'NN'), ('typeblood', 'VBD'), ('product', 'NN'), ('dispositionbpuproperty', 'NN')];blood product disposition typeblood product dispositionbpuproperty;glucose in blood;1
18;14749-6;Glucose [Moles/volume] in Serum or Plasma;Glucose;Ser/Plas;SCnc;Glucose [Moles/volume] in Serum or PlasmaGlucoseSer/Plasproperty;Glucose Molesvolume in Serum or PlasmaGlucoseSerPlasproperty;['glucose', 'molesvolume', 'in', 'serum', 'or', 'plasmaglucoseserplasproperty'];['glucose', 'molesvolume', 'serum', 'plasmaglucoseserplasproperty'];[('glucose', 'JJ'), ('molesvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmaglucoseserplasproperty', 'NN')];glucose molesvolume serum plasmaglucoseserplasproperty;glucose in blood;1
19;14747-0;Glucose [Moles/volume] in Pleural fluid;Glucose;Plr fld;SCnc;Glucose [Moles/volume] in Pleural fluidGlucosePlr fldproperty;Glucose Molesvolume in Pleural fluidGlucosePlr fldproperty;['glucose', 'molesvolume', 'in', 'pleural', 'fluidglucoseplr', 'fldproperty'];['glucose', 'molesvolume', 'pleural', 'fluidglucoseplr', 'fldproperty'];[('glucose', 'JJ'), ('molesvolume', 'NN'), ('in', 'IN'), ('pleural', 'JJ'), ('fluidglucoseplr', 'NN'), ('fldproperty', 'NN')];glucose molesvolume pleural fluidglucoseplr fldproperty;glucose in blood;1
20;2093-3;Cholesterol [Mass/volume] in Serum or Plasma;Cholesterol;Ser/Plas;MCnc;Cholesterol [Mass/volume] in Serum or PlasmaCholesterolSer/Plasproperty;Cholesterol Massvolume in Serum or PlasmaCholesterolSerPlasproperty;['cholesterol', 'massvolume', 'in', 'serum', 'or', 'plasmacholesterolserplasproperty'];['cholesterol', 'massvolume', 'serum', 'plasmacholesterolserplasproperty'];[('cholesterol', 'NN'), ('massvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmacholesterolserplasproperty', 'NN')];cholesterol massvolume serum plasmacholesterolserplasproperty;glucose in blood;1
21;1968-7;Bilirubin.direct [Mass/volume] in Serum or Plasma;Bilirubin.glucuronidated+Bilirubin.albumin bound;Ser/Plas;MCnc;Bilirubin.direct [Mass/volume] in Serum or PlasmaBilirubin.glucuronidated+Bilirubin.albumin boundSer/Plasproperty;Bilirubindirect Massvolume in Serum or PlasmaBilirubinglucuronidatedBilirubinalbumin boundSerPlasproperty;['bilirubindirect', 'massvolume', 'in', 'serum', 'or', 'plasmabilirubinglucuronidatedbilirubinalbumin', 'boundserplasproperty'];['bilirubindirect', 'massvolume', 'serum', 'plasmabilirubinglucuronidatedbilirubinalbumin', 'boundserplasproperty'];[('bilirubindirect', 'NN'), ('massvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmabilirubinglucuronidatedbilirubinalbumin', 'NN'), ('boundserplasproperty', 'NN')];bilirubindirect massvolume serum plasmabilirubinglucuronidatedbilirubinalbumin boundserplasproperty;glucose in blood;0
22;26464-8;Leukocytes [#/volume] in Blood;Leukocytes;Bld;NCnc;Leukocytes [#/volume] in BloodLeukocytesBldproperty;Leukocytes volume in BloodLeukocytesBldproperty;['leukocytes', 'volume', 'in', 'bloodleukocytesbldproperty'];['leukocytes', 'volume', 'bloodleukocytesbldproperty'];[('leukocytes', 'NNS'), ('volume', 'NN'), ('in', 'IN'), ('bloodleukocytesbldproperty', 'NN')];leukocytes volume bloodleukocytesbldproperty;glucose in blood;1
23;74774-1;Glucose [Mass/volume] in Serum, Plasma or Blood;Glucose;Ser/Plas/Bld;MCnc;Glucose [Mass/volume] in Serum, Plasma or BloodGlucoseSer/Plas/Bldproperty;Glucose Massvolume in Serum Plasma or BloodGlucoseSerPlasBldproperty;['glucose', 'massvolume', 'in', 'serum', 'plasma', 'or', 'bloodglucoseserplasbldproperty'];['glucose', 'massvolume', 'serum', 'plasma', 'bloodglucoseserplasbldproperty'];[('glucose', 'JJ'), ('massvolume', 'NN'), ('in', 'IN'), ('serum', 'JJ'), ('plasma', 'NN'), ('or', 'CC'), ('bloodglucoseserplasbldproperty', 'NN')];glucose massvolume serum plasma bloodglucoseserplasbldproperty;glucose in blood;1
24;8310-5;Body temperature;Body temperature;^Patient;Temp;Body temperatureBody temperature^Patientproperty;Body temperatureBody temperaturePatientproperty;['body', 'temperaturebody', 'temperaturepatientproperty'];['body', 'temperaturebody', 'temperaturepatientproperty'];[('body', 'NN'), ('temperaturebody', 'NN'), ('temperaturepatientproperty', 'NN')];body temperaturebody temperaturepatientproperty;glucose in blood;0
25;934-0;Blood product unit ID [#];Blood product unit ID;Dose;Num;Blood product unit ID [#]Blood product unit IDDoseproperty;Blood product unit ID Blood product unit IDDoseproperty;['blood', 'product', 'unit', 'id', 'blood', 'product', 'unit', 'iddoseproperty'];['blood', 'product', 'unit', 'id', 'blood', 'product', 'unit', 'iddoseproperty'];[('blood', 'NN'), ('product', 'NN'), ('unit', 'NN'), ('id', 'JJ'), ('blood', 'NN'), ('product', 'NN'), ('unit', 'NN'), ('iddoseproperty', 'NN')];blood product unit id blood product unit iddoseproperty;glucose in blood;1
26;14423-8;Bilirubin.total [Mass/volume] in Synovial fluid;Bilirubin;Synv fld;MCnc;Bilirubin.total [Mass/volume] in Synovial fluidBilirubinSynv fldproperty;Bilirubintotal Massvolume in Synovial fluidBilirubinSynv fldproperty;['bilirubintotal', 'massvolume', 'in', 'synovial', 'fluidbilirubinsynv', 'fldproperty'];['bilirubintotal', 'massvolume', 'synovial', 'fluidbilirubinsynv', 'fldproperty'];[('bilirubintotal', 'JJ'), ('massvolume', 'NN'), ('in', 'IN'), ('synovial', 'JJ'), ('fluidbilirubinsynv', 'NN'), ('fldproperty', 'NN')];bilirubintotal massvolume synovial fluidbilirubinsynv fldproperty;glucose in blood;0
27;1742-6;Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma;Alanine aminotransferase;Ser/Plas;CCnc;Alanine aminotransferase [Enzymatic activity/volume] in Serum or PlasmaAlanine aminotransferaseSer/Plasproperty;Alanine aminotransferase Enzymatic activityvolume in Serum or PlasmaAlanine aminotransferaseSerPlasproperty;['alanine', 'aminotransferase', 'enzymatic', 'activityvolume', 'in', 'serum', 'or', 'plasmaalanine', 'aminotransferaseserplasproperty'];['alanine', 'aminotransferase', 'enzymatic', 'activityvolume', 'serum', 'plasmaalanine', 'aminotransferaseserplasproperty'];[('alanine', 'JJ'), ('aminotransferase', 'NN'), ('enzymatic', 'JJ'), ('activityvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmaalanine', 'NN'), ('aminotransferaseserplasproperty', 'NN')];alanine aminotransferase enzymatic activityvolume serum plasmaalanine aminotransferaseserplasproperty;glucose in blood;0
28;14764-5;Glucose [Moles/volume] in Serum or Plasma --3 hours post 100 g glucose PO;Glucose^3H post 100 g glucose PO;Ser/Plas;SCnc;Glucose [Moles/volume] in Serum or Plasma --3 hours post 100 g glucose POGlucose^3H post 100 g glucose POSer/Plasproperty;Glucose Molesvolume in Serum or Plasma 3 hours post 100 g glucose POGlucose3H post 100 g glucose POSerPlasproperty;['glucose', 'molesvolume', 'in', 'serum', 'or', 'plasma', '3', 'hours', 'post', '100', 'g', 'glucose', 'poglucose3h', 'post', '100', 'g', 'glucose', 'poserplasproperty'];['glucose', 'molesvolume', 'serum', 'plasma', '3', 'hours', 'post', '100', 'g', 'glucose', 'poglucose3h', 'post', '100', 'g', 'glucose', 'poserplasproperty'];[('glucose', 'JJ'), ('molesvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasma', 'VB'), ('3', 'CD'), ('hours', 'NNS'), ('post', 'RB'), ('100', 'CD'), ('g', 'NNS'), ('glucose', 'JJ'), ('poglucose3h', 'NNS'), ('post', 'VBD'), ('100', 'CD'), ('g', 'NN'), ('glucose', 'NN'), ('poserplasproperty', 'NN')];glucose molesvolume serum plasma 3 hours post 100 g glucose poglucose3h post 100 g glucose poserplasproperty;glucose in blood;1
29;1994-3;Calcium.ionized [Moles/volume] in Blood;Calcium.ionized;Bld;SCnc;Calcium.ionized [Moles/volume] in BloodCalcium.ionizedBldproperty;Calciumionized Molesvolume in BloodCalciumionizedBldproperty;['calciumionized', 'molesvolume', 'in', 'bloodcalciumionizedbldproperty'];['calciumionized', 'molesvolume', 'bloodcalciumionizedbldproperty'];[('calciumionized', 'VBN'), ('molesvolume', 'NN'), ('in', 'IN'), ('bloodcalciumionizedbldproperty', 'NN')];calciumionized molesvolume bloodcalciumionizedbldproperty;glucose in blood;1
30;1751-7;Albumin [Mass/volume] in Serum or Plasma;Albumin;Ser/Plas;MCnc;Albumin [Mass/volume] in Serum or PlasmaAlbuminSer/Plasproperty;Albumin Massvolume in Serum or PlasmaAlbuminSerPlasproperty;['albumin', 'massvolume', 'in', 'serum', 'or', 'plasmaalbuminserplasproperty'];['albumin', 'massvolume', 'serum', 'plasmaalbuminserplasproperty'];[('albumin', 'NN'), ('massvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmaalbuminserplasproperty', 'NN')];albumin massvolume serum plasmaalbuminserplasproperty;glucose in blood;0
31;1003-3;Indirect antiglobulin test.complement specific reagent [Presence] in Serum or Plasma;Indirect antiglobulin test.complement specific reagent;Ser/Plas;ACnc;Indirect antiglobulin test.complement specific reagent [Presence] in Serum or PlasmaIndirect antiglobulin test.complement specific reagentSer/Plasproperty;Indirect antiglobulin testcomplement specific reagent Presence in Serum or PlasmaIndirect antiglobulin testcomplement specific reagentSerPlasproperty;['indirect', 'antiglobulin', 'testcomplement', 'specific', 'reagent', 'presence', 'in', 'serum', 'or', 'plasmaindirect', 'antiglobulin', 'testcomplement', 'specific', 'reagentserplasproperty'];['indirect', 'antiglobulin', 'testcomplement', 'specific', 'reagent', 'presence', 'serum', 'plasmaindirect', 'antiglobulin', 'testcomplement', 'specific', 'reagentserplasproperty'];[('indirect', 'JJ'), ('antiglobulin', 'NN'), ('testcomplement', 'NN'), ('specific', 'JJ'), ('reagent', 'NN'), ('presence', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmaindirect', 'JJ'), ('antiglobulin', 'NN'), ('testcomplement', 'NN'), ('specific', 'JJ'), ('reagentserplasproperty', 'NN')];indirect antiglobulin testcomplement specific reagent presence serum plasmaindirect antiglobulin testcomplement specific reagentserplasproperty;glucose in blood;0
32;1971-1;Bilirubin.indirect [Mass/volume] in Serum or Plasma;Bilirubin.non-glucuronidated;Ser/Plas;MCnc;Bilirubin.indirect [Mass/volume] in Serum or PlasmaBilirubin.non-glucuronidatedSer/Plasproperty;Bilirubinindirect Massvolume in Serum or PlasmaBilirubinnonglucuronidatedSerPlasproperty;['bilirubinindirect', 'massvolume', 'in', 'serum', 'or', 'plasmabilirubinnonglucuronidatedserplasproperty'];['bilirubinindirect', 'massvolume', 'serum', 'plasmabilirubinnonglucuronidatedserplasproperty'];[('bilirubinindirect', 'NN'), ('massvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmabilirubinnonglucuronidatedserplasproperty', 'NN')];bilirubinindirect massvolume serum plasmabilirubinnonglucuronidatedserplasproperty;glucose in blood;0
33;26484-6;Monocytes [#/volume] in Blood;Monocytes;Bld;NCnc;Monocytes [#/volume] in BloodMonocytesBldproperty;Monocytes volume in BloodMonocytesBldproperty;['monocytes', 'volume', 'in', 'bloodmonocytesbldproperty'];['monocytes', 'volume', 'bloodmonocytesbldproperty'];[('monocytes', 'NNS'), ('volume', 'NN'), ('in', 'IN'), ('bloodmonocytesbldproperty', 'NN')];monocytes volume bloodmonocytesbldproperty;glucose in blood;1
34;18865-6;Ampicillin+Sulbactam [Susceptibility];Ampicillin+Sulbactam;Isolate;Susc;Ampicillin+Sulbactam [Susceptibility]Ampicillin+SulbactamIsolateproperty;AmpicillinSulbactam SusceptibilityAmpicillinSulbactamIsolateproperty;['ampicillinsulbactam', 'susceptibilityampicillinsulbactamisolateproperty'];['ampicillinsulbactam', 'susceptibilityampicillinsulbactamisolateproperty'];[('ampicillinsulbactam', 'NN'), ('susceptibilityampicillinsulbactamisolateproperty', 'NN')];ampicillinsulbactam susceptibilityampicillinsulbactamisolateproperty;glucose in blood;0
35;882-1;ABO & Rh group [Type] in Blood;ABO+Rh group;Bld;Type;ABO & Rh group [Type] in BloodABO+Rh groupBldproperty;ABO  Rh group Type in BloodABORh groupBldproperty;['abo', 'rh', 'group', 'type', 'in', 'bloodaborh', 'groupbldproperty'];['abo', 'rh', 'group', 'type', 'bloodaborh', 'groupbldproperty'];[('abo', 'RB'), ('rh', 'NN'), ('group', 'NN'), ('type', 'NN'), ('in', 'IN'), ('bloodaborh', 'NN'), ('groupbldproperty', 'NN')];abo rh group type bloodaborh groupbldproperty;glucose in blood;1
36;1250-0;Major crossmatch [interpretation];Major crossmatch;Ser/Plas;Imp;Major crossmatch [interpretation]Major crossmatchSer/Plasproperty;Major crossmatch interpretationMajor crossmatchSerPlasproperty;['major', 'crossmatch', 'interpretationmajor', 'crossmatchserplasproperty'];['major', 'crossmatch', 'interpretationmajor', 'crossmatchserplasproperty'];[('major', 'JJ'), ('crossmatch', 'NN'), ('interpretationmajor', 'NN'), ('crossmatchserplasproperty', 'NN')];major crossmatch interpretationmajor crossmatchserplasproperty;glucose in blood;0
37;883-9;ABO group [Type] in Blood;ABO group;Bld;Type;ABO group [Type] in BloodABO groupBldproperty;ABO group Type in BloodABO groupBldproperty;['abo', 'group', 'type', 'in', 'bloodabo', 'groupbldproperty'];['abo', 'group', 'type', 'bloodabo', 'groupbldproperty'];[('abo', 'NN'), ('group', 'NN'), ('type', 'NN'), ('in', 'IN'), ('bloodabo', 'NN'), ('groupbldproperty', 'NN')];abo group type bloodabo groupbldproperty;glucose in blood;1
38;2132-9;Cobalamin (Vitamin B12) [Mass/volume] in Serum;Cobalamins;Ser;MCnc;Cobalamin (Vitamin B12) [Mass/volume] in SerumCobalaminsSerproperty;Cobalamin Vitamin B12 Massvolume in SerumCobalaminsSerproperty;['cobalamin', 'vitamin', 'b12', 'massvolume', 'in', 'serumcobalaminsserproperty'];['cobalamin', 'vitamin', 'b12', 'massvolume', 'serumcobalaminsserproperty'];[('cobalamin', 'NN'), ('vitamin', 'NN'), ('b12', 'NN'), ('massvolume', 'NN'), ('in', 'IN'), ('serumcobalaminsserproperty', 'NN')];cobalamin vitamin b12 massvolume serumcobalaminsserproperty;glucose in blood;0
39;31100-1;Hematocrit [Volume Fraction] of Blood by Impedance;Hematocrit;Bld;VFr;Hematocrit [Volume Fraction] of Blood by ImpedanceHematocritBldproperty;Hematocrit Volume Fraction of Blood by ImpedanceHematocritBldproperty;['hematocrit', 'volume', 'fraction', 'of', 'blood', 'by', 'impedancehematocritbldproperty'];['hematocrit', 'volume', 'fraction', 'blood', 'impedancehematocritbldproperty'];[('hematocrit', 'NN'), ('volume', 'NN'), ('fraction', 'NN'), ('of', 'IN'), ('blood', 'NN'), ('by', 'IN'), ('impedancehematocritbldproperty', 'NN')];hematocrit volume fraction blood impedancehematocritbldproperty;glucose in blood;1
